distance,flow
16,6.19706151571e-09
229,6.34523088764e-10
42,1.11919693025e-05
22,9.14127843301e-17
44,6.26407449845e-10
35,8.57595375448e-19
25,4.53844638473e-12
203,8.61841077988e-05
229,2.6865188617e-07
23,8.72661304133e-13
50,6.16900830782e-08
72,7.79864596534e-11
32,4.68259545896e-08
28,4.55474276953e-08
217,5.71477177859e-09
212,7.00096438179e-06
215,8.90395820282e-06
30,3.49562630611e-12
16,2.29079500115e-08
202,8.61841077988e-05
41,2.9194626769e-07
201,8.61841077988e-05
43,2.88165905293e-09
225,8.6279706053e-07
221,1.26097005831e-12
55,2.46471403888e-07
49,2.01012953489e-14
200,8.61841077988e-05
224,8.6279706053e-07
45,5.46199175164e-14
50,2.26376136688e-09
39,2.18888996325e-11
48,2.79929308729e-13
29,1.73868050504e-08
48,6.31758907276e-10
74,1.49719849107e-10
37,3.22967936288e-10
34,2.60981267284e-09
8,4.60050972882e-07
29,3.57497612551e-10
35,3.9998526477e-09
39,1.15224353479e-07
28,7.45460310158e-07
219,1.03724097701e-11
49,6.59617819847e-21
34,9.87639374883e-08
218,2.92753516518e-06
48,2.48830112446e-10
50,1.22493471956e-18
35,1.05476006739e-26
61,3.50032797524e-11
31,1.13690360631e-10
71,7.79864596534e-11
227,3.03173940676e-10
223,2.10570847088e-09
22,9.95451748193e-16
41,8.41695818875e-09
32,1.95296101638e-10
24,8.26821647163e-11
37,1.35060814179e-10
42,3.73293132833e-11
40,1.3720048737e-09
32,2.73017561461e-09
29,2.89780084175e-08
48,4.8794702579e-09
33,4.38888153499e-08
28,1.89668294564e-16
11,9.77738252798e-15
43,5.69789035583e-10
50,1.53025334352e-10
51,4.28360576637e-15
40,7.50360065565e-23
33,3.89874832559e-08
61,2.47707678371e-09
218,1.07672233503e-06
31,8.34174356964e-12
44,5.55105885807e-09
48,5.10684267759e-10
45,9.98584071909e-11
39,5.80057401934e-12
33,2.60981267284e-09
21,3.31863898966e-13
38,1.17346568618e-05
22,3.9788774328e-08
44,1.63072337521e-09
12,8.22700208735e-14
49,1.57211981714e-21
49,1.17607115163e-21
49,1.01275577214e-21
216,6.57628249575e-10
46,1.0819492468e-06
38,1.53549819854e-08
73,1.23510275425e-10
14,1.28976920409e-07
28,1.21167838764e-15
53,2.42924499013e-19
